"Music is my drug muscle tee","Top","Women",24.5,"http://hottopic.scene7.com/is/image/HotTopic/10207406_hi?$newht_product_lg$","http://www.hottopic.com/hottopic/Girls/Tees/Music+Is+My+Drug+Muscle+Girls+Top-10207406.jsp","Hot Topic"
"Don Diablo bracelets","Accessories","Unisex",28,"http://cdn.shopify.com/s/files/1/0464/9525/products/dondiablo-pack_1024x1024.jpg?v=1400699347","http://electricfamily.com/collections/bracelets/products/don-diablo-pack","Electric Family"
"Cedric Gervais bracelets","Accessories","Unisex",28,"http://cdn.shopify.com/s/files/1/0464/9525/products/Cedric_Gervais_Pack_1024x1024.jpg?v=1400023634","http://electricfamily.com/collections/bracelets/products/cedric-gervais-pack","Electric Family"
"Markus Schulz bracelet","Accessories","Unisex",13,"http://cdn.shopify.com/s/files/1/0464/9525/products/Markus_Schulz_1024x1024.jpg?v=1400023435","http://electricfamily.com/collections/bracelets/products/markus-schulz","Electric Family"
"EF logo hat","Accessories","Men",28,"http://cdn.shopify.com/s/files/1/0464/9525/products/woolhat_front_1024x1024.jpg?v=1400271545","http://electricfamily.com/collections/headwear/products/electric-family-logo-hat-wool-strapback","Electric Family"
"Galaxy skater dress","Bottoms","Women",80,"https://cdn.shopify.com/s/files/1/0115/5832/products/GalaxyPurpleSkaterDress2-4-WEB_grande.png?v=1389588137","https://blackmilkclothing.com/products/galaxy-purple-skater-dress","Blackmilk"
"Galaxy skater skirt","Bottoms","Women",50,"https://cdn.shopify.com/s/files/1/0115/5832/products/GalaxyPurpleSkirt_5-WEB_grande.png?v=1374037331","https://blackmilkclothing.com/products/galaxy-purple-skater-skirt","Blackmilk"
"Bolt crop top","Top","Women",25,"http://cdn.shopify.com/s/files/1/0464/9525/products/black_pink_1024x1024.jpg?v=1400532517","http://electricfamily.com/collections/apparel/products/bolt-crop-top","Electric Family"
"Neon tank","Top","Men",25,"http://cdn.shopify.com/s/files/1/0464/9525/products/scripttankgreen_grande.png?v=1402428661","http://electricfamily.com/collections/apparel/products/script-tank-neon-green","Electric Family"
"Keep calm & Rave on shirt","Top","Men",23.4,"http://image.spreadshirt.com/image-server/v1/compositions/110392046/views/1,width=280,height=280,appearanceId=54.png/keep-calm-rave-on_design.png","http://edmparty.spreadshirt.com/keep-calm-rave-on-A14805449/customize/color/54","EDM Party"
"Swedish House Mafia shirt","Top","Men",15,"http://image.spreadshirt.com/image-server/v1/compositions/1000076973/views/1,width=280,height=280,appearanceId=2.png/swedish-house-mafia-paint-splash_design.png","http://edmparty.spreadshirt.com/swedish-house-mafia-paint-splash-A15084982/customize/color/2","EDM Party"
"EDM Galaxy shirt","Top","Women",20.5,"http://image.spreadshirt.com/image-server/v1/compositions/110343516/views/1,width=280,height=280,appearanceId=1.png/edm-galaxy-women-s-tee_design.png","http://edmparty.spreadshirt.com/edm-galaxy-women-s-tee-A14762713/customize/color/1","EDM Party"
